pid,collaborative,duration_ms,num_albums,num_artists,num_edits,num_followers,num_tracks,diversity_ratio
0,false,11532414,47,37,6,1,52,0.7115384615384616
1,false,11656470,23,21,5,1,39,0.5384615384615384
2,false,14039958,51,31,18,1,64,0.484375
3,false,28926058,107,86,4,1,126,0.6825396825396826
4,false,4335282,16,16,7,2,17,0.9411764705882353
5,false,19156557,71,56,3,1,80,0.7
6,false,3408479,15,13,2,1,16,0.8125
7,false,12674796,52,48,38,1,53,0.9056603773584906
8,false,9948921,37,23,21,2,46,0.5
9,false,4297488,20,18,10,1,21,0.8571428571428571
10,false,16403398,60,40,36,2,72,0.5555555555555556
11,false,35655891,117,99,16,1,134,0.7388059701492538
12,false,1981349,9,9,3,1,9,1.0
13,false,3039124,13,12,5,1,13,0.9230769230769231
14,false,25837498,79,61,3,1,103,0.5922330097087378
15,false,1818256,5,3,3,1,7,0.42857142857142855
16,false,24695913,94,81,45,1,105,0.7714285714285715
17,false,17627215,69,61,11,1,79,0.7721518987341772
18,false,15917464,66,55,18,1,68,0.8088235294117647
19,false,21627256,82,70,54,1,85,0.8235294117647058
20,false,2165531,9,6,11,3,14,0.42857142857142855
21,false,3709224,15,15,8,1,15,1.0
22,false,9077152,39,37,15,2,42,0.8809523809523809
23,false,5843925,16,7,4,1,20,0.35
24,false,1693822,5,3,4,1,7,0.42857142857142855
25,false,9067261,38,31,8,2,41,0.7560975609756098
26,false,6442086,20,15,7,1,26,0.5769230769230769
27,false,2902584,11,8,5,1,12,0.6666666666666666
28,false,18831207,57,37,26,7,81,0.4567901234567901
29,false,8059613,39,39,16,1,40,0.975
30,false,34463029,17,9,6,1,157,0.05732484076433121
31,false,20594090,94,83,34,1,97,0.8556701030927835
32,false,24656509,85,72,9,1,106,0.6792452830188679
33,false,4295055,14,11,7,1,17,0.6470588235294118
34,false,18149784,72,65,39,1,80,0.8125
35,false,15247117,58,52,56,1,70,0.7428571428571429
36,false,1895637,9,5,3,1,9,0.5555555555555556
37,false,16626596,69,55,7,1,72,0.7638888888888888
38,false,12636678,51,42,16,1,53,0.7924528301886793
39,false,12611044,34,17,14,1,58,0.29310344827586204
40,false,18672695,80,71,27,6,85,0.8352941176470589
41,false,49193451,105,55,13,1,209,0.2631578947368421
42,false,33759110,131,106,51,2,158,0.6708860759493671
43,false,4581750,9,9,5,1,21,0.42857142857142855
44,false,6837317,29,21,18,3,33,0.6363636363636364
45,false,18755470,69,54,5,1,76,0.7105263157894737
46,false,2724593,11,8,2,1,11,0.7272727272727273
47,false,3857335,15,14,15,1,15,0.9333333333333333
48,false,7163190,20,13,12,1,32,0.40625
49,false,15097154,37,23,22,1,45,0.5111111111111111
50,false,11777971,40,31,3,1,55,0.5636363636363636
51,false,12833397,36,25,21,1,54,0.46296296296296297
52,false,2647155,14,10,2,5,15,0.6666666666666666
53,false,25223598,93,75,8,4,105,0.7142857142857143
54,false,1185919,5,4,4,1,5,0.8
55,false,33994572,74,27,20,3,151,0.17880794701986755
56,false,5036761,18,13,12,1,19,0.6842105263157895
57,false,4593106,16,15,12,1,19,0.7894736842105263
58,false,7640168,4,3,3,2,38,0.07894736842105263
59,false,29179125,95,57,53,3,136,0.41911764705882354
60,false,16331347,64,64,30,2,66,0.9696969696969697
61,false,2891358,9,8,7,1,13,0.6153846153846154
62,false,8082346,32,23,20,2,33,0.696969696969697
63,false,8507708,36,34,2,1,38,0.8947368421052632
64,false,21722739,73,61,17,1,105,0.580952380952381
65,false,27865852,108,87,27,1,133,0.6541353383458647
66,false,17574203,80,72,4,1,81,0.8888888888888888
67,false,1676469,8,7,5,1,8,0.875
68,false,40691418,90,47,20,1,174,0.27011494252873564
69,false,4255622,15,13,11,1,18,0.7222222222222222
70,false,16959911,59,47,37,1,74,0.6351351351351351
71,false,5819956,24,23,3,1,26,0.8846153846153846
72,false,44051231,139,83,22,1,197,0.4213197969543147
73,false,7571761,32,31,12,1,34,0.9117647058823529
74,false,1420634,5,5,2,1,5,1.0
75,false,3386398,14,12,2,2,14,0.8571428571428571
76,false,6964996,31,29,19,4,32,0.90625
77,false,6482548,15,12,10,1,24,0.5
78,false,5141065,15,16,4,1,16,1.0
79,false,4064642,15,14,2,1,16,0.875
80,false,16146953,54,30,10,1,66,0.45454545454545453
81,false,16180860,38,24,11,1,64,0.375
82,false,8803027,16,9,8,1,25,0.36
83,false,15764803,48,22,4,2,69,0.3188405797101449
84,false,10457609,35,26,17,1,39,0.6666666666666666
85,false,18025402,63,45,33,2,72,0.625
86,false,10492328,31,23,30,1,42,0.5476190476190477
87,false,5561220,22,20,13,1,24,0.8333333333333334
88,false,14529680,34,12,23,1,66,0.18181818181818182
89,false,23229656,85,82,2,1,92,0.8913043478260869
90,false,22433711,76,41,5,2,103,0.39805825242718446
91,false,18184816,54,37,9,3,68,0.5441176470588235
92,false,2012078,7,3,2,1,8,0.375
93,false,21802838,82,67,27,1,98,0.6836734693877551
94,false,27578241,112,97,35,1,124,0.782258064516129
95,false,40155045,133,90,50,1,170,0.5294117647058824
96,false,3679250,12,10,5,1,19,0.5263157894736842
97,false,54634292,56,42,16,1,233,0.18025751072961374
98,true,26901306,20,3,8,1,81,0.037037037037037035
99,false,8381755,38,35,3,2,42,0.8333333333333334
100,false,4782436,12,19,4,1,22,0.8636363636363636
101,false,4922286,21,21,2,1,22,0.9545454545454546
102,false,10051080,14,9,28,1,48,0.1875
103,false,43921538,133,63,28,1,177,0.3559322033898305
104,false,15475350,30,26,7,1,65,0.4
105,false,27285505,96,82,10,1,115,0.7130434782608696
106,true,29550753,105,100,26,1,114,0.8771929824561403
107,false,14274383,58,50,37,2,62,0.8064516129032258
108,false,16200460,10,6,2,1,69,0.08695652173913043
109,false,37033649,100,64,56,1,132,0.48484848484848486
110,false,7720149,29,19,5,2,33,0.5757575757575758
111,false,5198964,20,16,13,1,24,0.6666666666666666
112,true,15714900,65,61,10,1,65,0.9384615384615385
113,false,4225410,17,14,4,1,19,0.7368421052631579
114,false,4879293,16,4,2,1,23,0.17391304347826086
115,false,43332923,148,102,48,4,194,0.5257731958762887
116,false,3014754,11,10,4,1,12,0.8333333333333334
117,false,2935585,13,13,7,1,13,1.0
118,false,8513051,35,31,33,1,38,0.8157894736842105
119,false,5742787,20,15,3,1,23,0.6521739130434783
120,false,20816578,70,59,8,1,103,0.5728155339805825
121,false,43372532,126,82,31,1,168,0.4880952380952381
122,false,4496055,18,20,3,1,20,1.0
123,false,55676545,225,171,26,1,245,0.6979591836734694
124,false,39278419,156,118,86,2,176,0.6704545454545454
125,false,11809365,39,26,14,1,53,0.49056603773584906
126,false,9768248,47,48,6,1,50,0.96
127,true,5549763,25,24,3,1,26,0.9230769230769231
128,false,3875986,18,17,10,1,18,0.9444444444444444
129,false,22018885,84,74,7,3,94,0.7872340425531915
130,false,46317403,96,45,12,2,205,0.21951219512195122
131,false,24902583,92,68,10,1,99,0.6868686868686869
132,true,2443305,10,10,9,1,10,1.0
133,true,4344880,19,18,17,4,20,0.9
134,false,56753582,200,141,53,1,233,0.6051502145922747
135,false,13660732,44,39,4,1,53,0.7358490566037735
136,false,8207681,28,22,14,1,32,0.6875
137,false,5543879,20,20,6,1,24,0.8333333333333334
138,false,33346619,119,103,79,1,130,0.7923076923076923
139,false,9799655,44,40,26,2,44,0.9090909090909091
140,false,17565348,60,52,25,1,71,0.7323943661971831
141,false,5306521,22,22,6,1,22,1.0
142,false,26629274,63,47,26,1,109,0.43119266055045874
143,false,8258520,23,17,2,1,37,0.4594594594594595
144,false,14408181,52,41,23,4,60,0.6833333333333333
145,false,13089519,38,14,3,1,46,0.30434782608695654
146,false,44443762,59,34,11,2,198,0.1717171717171717
147,false,2170254,9,8,5,1,10,0.8
148,false,31352547,117,93,81,1,141,0.6595744680851063
149,false,8045907,25,16,14,3,34,0.47058823529411764
150,false,28272833,98,75,27,2,130,0.5769230769230769
151,false,9636183,41,32,17,1,42,0.7619047619047619
152,false,19844176,74,66,49,1,89,0.7415730337078652
153,false,7116222,27,20,3,1,29,0.6896551724137931
154,false,11290220,44,41,10,1,50,0.82
155,false,5759353,20,20,9,1,24,0.8333333333333334
156,false,49012499,157,103,57,2,188,0.5478723404255319
157,false,4484363,22,16,7,1,22,0.7272727272727273
158,false,23064355,94,86,12,3,102,0.8431372549019608
159,false,8912254,32,27,4,1,33,0.8181818181818182
160,false,1460954,7,7,5,1,7,1.0
161,false,37767243,118,68,24,2,161,0.422360248447205
162,false,11526358,40,21,6,1,41,0.5121951219512195
163,false,15123038,34,22,3,1,61,0.36065573770491804
164,false,10592578,43,35,10,5,46,0.7608695652173914
165,false,1983622,8,6,2,2,10,0.6
166,false,12866664,51,41,5,7,55,0.7454545454545455
167,false,17432543,40,23,33,3,74,0.3108108108108108
168,false,2792225,11,9,3,1,12,0.75
169,false,35755512,125,110,102,2,134,0.8208955223880597
170,false,13356225,42,29,2,1,52,0.5576923076923077
171,false,6141737,21,18,14,1,29,0.6206896551724138
172,false,8937392,35,33,13,1,41,0.8048780487804879
173,false,24626956,89,70,17,1,95,0.7368421052631579
174,false,3513542,15,15,3,1,16,0.9375
175,false,4337022,12,4,2,1,18,0.2222222222222222
176,false,30577508,106,73,91,1,141,0.5177304964539007
177,false,5816378,23,21,10,1,25,0.84
178,false,15221475,53,38,38,1,70,0.5428571428571428
179,false,4874193,20,20,9,2,21,0.9523809523809523
180,false,3954876,15,6,3,1,17,0.35294117647058826
181,false,5897376,27,21,12,1,27,0.7777777777777778
182,false,36797138,142,110,70,5,171,0.6432748538011696
183,false,18325566,45,28,17,1,85,0.32941176470588235
184,true,12322340,42,41,19,1,50,0.82
185,false,27409576,109,90,63,5,121,0.743801652892562
186,false,9089382,25,21,10,1,41,0.5121951219512195
187,false,3675299,15,15,3,1,17,0.8823529411764706
188,false,4500528,17,17,6,1,17,1.0
189,false,20941788,40,25,13,2,66,0.3787878787878788
190,false,19890530,21,11,13,1,70,0.15714285714285714
191,false,5141478,19,11,11,2,22,0.5
192,false,8618956,33,26,6,1,37,0.7027027027027027
193,false,3161650,13,12,6,1,14,0.8571428571428571
194,false,29136511,115,92,6,1,130,0.7076923076923077
195,false,16610475,63,51,42,1,68,0.75
196,false,7031522,29,28,4,1,29,0.9655172413793104
197,false,14156348,55,53,19,1,57,0.9298245614035088
198,false,7654553,19,23,4,1,25,0.92
199,false,19698418,53,52,5,5,79,0.6582278481012658
200,false,3174293,12,10,5,1,14,0.7142857142857143
201,false,9614973,42,41,11,1,46,0.8913043478260869
202,false,17063915,49,31,14,1,64,0.484375
203,false,10835351,45,37,19,1,47,0.7872340425531915
204,false,2158596,10,10,8,2,10,1.0
205,false,12113727,44,40,21,1,49,0.8163265306122449
206,false,1207465,5,5,5,1,5,1.0
207,false,10601309,37,29,4,1,44,0.6590909090909091
208,false,19029995,35,31,25,1,90,0.34444444444444444
209,false,11105323,41,34,27,2,52,0.6538461538461539
210,false,22073980,54,50,6,1,123,0.4065040650406504
211,false,19732875,67,45,21,2,79,0.569620253164557
212,false,32351099,115,68,32,1,146,0.4657534246575342
213,false,3945474,9,3,3,1,17,0.17647058823529413
214,false,35259245,141,113,30,1,157,0.7197452229299363
215,false,8787620,39,34,8,2,41,0.8292682926829268
216,false,8270009,15,11,6,1,29,0.3793103448275862
217,false,32794865,36,18,17,1,148,0.12162162162162163
218,false,21299385,93,74,4,1,98,0.7551020408163265
219,false,8744086,20,11,8,1,30,0.36666666666666664
220,false,15053798,19,35,5,1,68,0.5147058823529411
221,false,3412812,13,8,11,1,15,0.5333333333333333
222,false,3740128,17,16,2,1,17,0.9411764705882353
223,false,29870133,106,76,37,10,120,0.6333333333333333
224,false,30900252,103,91,39,3,115,0.7913043478260869
225,false,16984247,74,51,4,1,80,0.6375
226,false,29662320,71,47,6,1,111,0.42342342342342343
227,false,13509708,41,26,32,1,55,0.4727272727272727
228,false,44182045,170,134,125,1,176,0.7613636363636364
229,false,3845941,17,14,10,1,18,0.7777777777777778
230,false,6247266,23,23,13,2,24,0.9583333333333334
231,false,52092271,80,40,45,9,229,0.17467248908296942
232,false,10847902,47,44,11,1,50,0.88
233,false,1202613,5,5,2,1,5,1.0
234,false,9846155,37,30,14,1,43,0.6976744186046512
235,false,8548120,32,25,9,1,40,0.625
236,false,11854860,46,40,5,1,48,0.8333333333333334
237,false,22046144,84,67,41,3,92,0.7282608695652174
238,false,4831759,17,17,7,1,22,0.7727272727272727
239,false,28533260,53,20,4,1,124,0.16129032258064516
240,false,8123185,26,23,8,1,34,0.6764705882352942
241,false,29003627,25,7,17,18,151,0.046357615894039736
242,false,3704527,16,14,13,1,18,0.7777777777777778
243,false,31295097,117,92,16,1,123,0.7479674796747967
244,false,14984483,52,33,24,1,67,0.4925373134328358
245,false,13380646,57,56,14,1,62,0.9032258064516129
